Region,Comuna,Codigo comuna,Poblacion,Casos
Arica y Parinacota,Arica,15101.0,247552.0,11080.0
Arica y Parinacota,Camarones,15102.0,1233.0,27.0
Arica y Parinacota,General Lagos,15202.0,810.0,64.0
Arica y Parinacota,Putre,15201.0,2515.0,73.0
Arica y Parinacota,Desconocido Arica y Parinacota,,,43.0
Tarapacá,Alto Hospicio,1107.0,129999.0,5210.0
Tarapacá,Camiña,1402.0,1375.0,88.0
Tarapacá,Colchane,1403.0,1583.0,114.0
Tarapacá,Huara,1404.0,3000.0,217.0
Tarapacá,Iquique,1101.0,223463.0,9736.0
Tarapacá,Pica,1405.0,5958.0,477.0
Tarapacá,Pozo Almonte,1401.0,17395.0,1228.0
Tarapacá,Desconocido Tarapaca,,,833.0
Antofagasta,Antofagasta,2101.0,425725.0,13888.0
Antofagasta,Calama,2201.0,190336.0,8061.0
Antofagasta,María Elena,2302.0,6814.0,376.0
Antofagasta,Mejillones,2102.0,14776.0,798.0
Antofagasta,Ollague,2202.0,287.0,28.0
Antofagasta,San Pedro de Atacama,2203.0,10434.0,385.0
Antofagasta,Sierra Gorda,2103.0,1746.0,103.0
Antofagasta,Taltal,2104.0,13657.0,253.0
Antofagasta,Tocopilla,2301.0,28079.0,422.0
Antofagasta,Desconocido Antofagasta,,,351.0
Atacama,Alto del Carmen,3302.0,5729.0,46.0
Atacama,Caldera,3102.0,19426.0,388.0
Atacama,Chañaral,3201.0,13164.0,197.0
Atacama,Copiapó,3101.0,171766.0,4943.0
Atacama,Diego de Almagro,3202.0,14358.0,374.0
Atacama,Freirina,3303.0,7681.0,206.0
Atacama,Huasco,3304.0,11264.0,295.0
Atacama,Tierra Amarilla,3103.0,14312.0,456.0
Atacama,Vallenar,3301.0,57009.0,1627.0
Atacama,Desconocido Atacama,,,45.0
Coquimbo,Andacollo,4103.0,11791.0,199.0
Coquimbo,Canela,4202.0,9546.0,122.0
Coquimbo,Combarbalá,4302.0,13884.0,147.0
Coquimbo,Coquimbo,4102.0,256735.0,5366.0
Coquimbo,Illapel,4201.0,32801.0,549.0
Coquimbo,La Higuera,4104.0,4450.0,105.0
Coquimbo,La Serena,4101.0,249656.0,4341.0
Coquimbo,Los Vilos,4203.0,23374.0,367.0
Coquimbo,Monte Patria,4303.0,32527.0,640.0
Coquimbo,Ovalle,4301.0,121269.0,3446.0
Coquimbo,Paiguano,4105.0,4675.0,44.0
Coquimbo,Punitaqui,4304.0,12165.0,286.0
Coquimbo,Río Hurtado,4305.0,4372.0,56.0
Coquimbo,Salamanca,4204.0,29110.0,292.0
Coquimbo,Vicuña,4106.0,29741.0,364.0
Coquimbo,Desconocido Coquimbo,,,152.0
Valparaíso,Algarrobo,5602.0,15174.0,248.0
Valparaíso,Cabildo,5402.0,20663.0,543.0
Valparaíso,Calera,5502.0,53591.0,1643.0
Valparaíso,Calle Larga,5302.0,16482.0,449.0
Valparaíso,Cartagena,5603.0,25357.0,428.0
Valparaíso,Casablanca,5102.0,29170.0,720.0
Valparaíso,Catemu,5702.0,15213.0,385.0
Valparaíso,Concón,5103.0,45889.0,1058.0
Valparaíso,El Quisco,5604.0,17742.0,379.0
Valparaíso,El Tabo,5605.0,14338.0,346.0
Valparaíso,Hijuelas,5503.0,19099.0,405.0
Valparaíso,Isla de Pascua,5201.0,8277.0,10.0
Valparaíso,Juan Fernandez,5104.0,1033.0,1.0
Valparaíso,La Cruz,5504.0,25321.0,520.0
Valparaíso,La Ligua,5401.0,37739.0,1121.0
Valparaíso,Limache,5802.0,49931.0,1422.0
Valparaíso,Llaillay,5703.0,26533.0,694.0
Valparaíso,Los Andes,5301.0,68093.0,1572.0
Valparaíso,Nogales,5506.0,23490.0,565.0
Valparaíso,Olmué,5803.0,19266.0,402.0
Valparaíso,Panquehue,5704.0,7633.0,139.0
Valparaíso,Papudo,5403.0,6201.0,213.0
Valparaíso,Petorca,5404.0,10558.0,205.0
Valparaíso,Puchuncaví,5105.0,20071.0,301.0
Valparaíso,Putaendo,5705.0,17645.0,372.0
Valparaíso,Quillota,5501.0,97572.0,2783.0
Valparaíso,Quilpué,5801.0,167085.0,4153.0
Valparaíso,Quintero,5107.0,36135.0,785.0
Valparaíso,Rinconada,5303.0,11263.0,215.0
Valparaíso,San Antonio,5601.0,96761.0,2020.0
Valparaíso,San Esteban,5304.0,20643.0,391.0
Valparaíso,San Felipe,5701.0,83494.0,2060.0
Valparaíso,Santa María,5706.0,16367.0,392.0
Valparaíso,Santo Domingo,5606.0,11934.0,231.0
Valparaíso,Valparaíso,5101.0,315732.0,9792.0
Valparaíso,Villa Alemana,5804.0,139310.0,3644.0
Valparaíso,Viña del Mar,5109.0,361371.0,9207.0
Valparaíso,Zapallar,5405.0,7994.0,171.0
Valparaíso,Desconocido Valparaiso,,,487.0
Metropolitana,Alhué,13502.0,7405.0,413.0
Metropolitana,Buin,13402.0,109641.0,3556.0
Metropolitana,Calera de Tango,13403.0,28525.0,760.0
Metropolitana,Cerrillos,13102.0,88956.0,3752.0
Metropolitana,Cerro Navia,13103.0,142465.0,8060.0
Metropolitana,Colina,13301.0,180353.0,5667.0
Metropolitana,Conchalí,13104.0,139195.0,7473.0
Metropolitana,Curacaví,13503.0,36430.0,1313.0
Metropolitana,El Bosque,13105.0,172000.0,8072.0
Metropolitana,El Monte,13602.0,40014.0,1506.0
Metropolitana,Estación Central,13106.0,206792.0,7588.0
Metropolitana,Huechuraba,13107.0,112528.0,4800.0
Metropolitana,Independencia,13108.0,142065.0,7633.0
Metropolitana,Isla de Maipo,13603.0,40171.0,1581.0
Metropolitana,La Cisterna,13109.0,100434.0,4186.0
Metropolitana,La Florida,13110.0,402433.0,17129.0
Metropolitana,La Granja,13111.0,122557.0,8278.0
Metropolitana,La Pintana,13112.0,189335.0,12490.0
Metropolitana,La Reina,13113.0,100252.0,2900.0
Metropolitana,Lampa,13302.0,126898.0,4332.0
Metropolitana,Las Condes,13114.0,330759.0,8290.0
Metropolitana,Lo Barnechea,13115.0,124076.0,4374.0
Metropolitana,Lo Espejo,13116.0,103865.0,5343.0
Metropolitana,Lo Prado,13117.0,104403.0,6038.0
Metropolitana,Macul,13118.0,134635.0,6178.0
Metropolitana,Maipú,13119.0,578605.0,19272.0
Metropolitana,María Pinto,13504.0,14926.0,472.0
Metropolitana,Melipilla,13501.0,141612.0,5109.0
Metropolitana,Ñuñoa,13120.0,250192.0,7195.0
Metropolitana,Padre Hurtado,13604.0,74188.0,2733.0
Metropolitana,Paine,13404.0,82766.0,2838.0
Metropolitana,Pedro Aguirre Cerda,13121.0,107803.0,5289.0
Metropolitana,Peñaflor,13605.0,101058.0,3630.0
Metropolitana,Peñalolén,13122.0,266798.0,13630.0
Metropolitana,Pirque,13202.0,30433.0,1361.0
Metropolitana,Providencia,13123.0,157749.0,4288.0
Metropolitana,Pudahuel,13124.0,253139.0,12206.0
Metropolitana,Puente Alto,13201.0,645909.0,29924.0
Metropolitana,Quilicura,13125.0,254694.0,10743.0
Metropolitana,Quinta Normal,13126.0,136368.0,7371.0
Metropolitana,Recoleta,13127.0,190075.0,9921.0
Metropolitana,Renca,13128.0,160847.0,10875.0
Metropolitana,San Bernardo,13401.0,334836.0,13988.0
Metropolitana,San Joaquín,13129.0,103485.0,6044.0
Metropolitana,San José de Maipo,13203.0,18644.0,811.0
Metropolitana,San Miguel,13130.0,133059.0,6604.0
Metropolitana,San Pedro,13505.0,11953.0,323.0
Metropolitana,San Ramón,13131.0,86510.0,5330.0
Metropolitana,Santiago,13101.0,503147.0,18517.0
Metropolitana,Talagante,13601.0,81838.0,2246.0
Metropolitana,Tiltil,13303.0,21477.0,721.0
Metropolitana,Vitacura,13132.0,96774.0,2156.0
Metropolitana,Desconocido Metropolitana,,,11167.0
O’Higgins,Chépica,6302.0,15925.0,312.0
O’Higgins,Chimbarongo,6303.0,37696.0,468.0
O’Higgins,Codegua,6102.0,14096.0,426.0
O’Higgins,Coinco,6103.0,7831.0,217.0
O’Higgins,Coltauco,6104.0,21263.0,655.0
O’Higgins,Doñihue,6105.0,22700.0,855.0
O’Higgins,Graneros,6106.0,36504.0,984.0
O’Higgins,La Estrella,6202.0,3114.0,53.0
O’Higgins,Las Cabras,6107.0,26749.0,762.0
O’Higgins,Litueche,6203.0,6765.0,114.0
O’Higgins,Lolol,6304.0,7289.0,121.0
O’Higgins,Machalí,6108.0,59913.0,1486.0
O’Higgins,Malloa,6109.0,14163.0,340.0
O’Higgins,Marchihue,6204.0,7632.0,132.0
O’Higgins,Mostazal,6110.0,27462.0,527.0
O’Higgins,Nancagua,6305.0,19141.0,257.0
O’Higgins,Navidad,6205.0,6904.0,91.0
O’Higgins,Olivar,6111.0,14624.0,420.0
O’Higgins,Palmilla,6306.0,13299.0,240.0
O’Higgins,Paredones,6206.0,6349.0,133.0
O’Higgins,Peralillo,6307.0,11848.0,160.0
O’Higgins,Peumo,6112.0,14952.0,390.0
O’Higgins,Pichidegua,6113.0,20743.0,782.0
O’Higgins,Pichilemu,6201.0,17882.0,164.0
O’Higgins,Placilla,6308.0,9164.0,172.0
O’Higgins,Pumanque,6309.0,3531.0,30.0
O’Higgins,Quinta de Tilcoco,6114.0,13877.0,203.0
O’Higgins,Rancagua,6101.0,265211.0,9659.0
O’Higgins,Rengo,6115.0,63710.0,1773.0
O’Higgins,Requínoa,6116.0,30371.0,679.0
O’Higgins,San Fernando,6301.0,78642.0,1874.0
O’Higgins,San Vicente,6117.0,50617.0,1262.0
O’Higgins,Santa Cruz,6310.0,41096.0,794.0
O’Higgins,Desconocido O’Higgins,,,75.0
Maule,Cauquenes,7201.0,44143.0,625.0
Maule,Chanco,7202.0,9331.0,172.0
Maule,Colbún,7402.0,22565.0,462.0
Maule,Constitución,7102.0,50348.0,754.0
Maule,Curepto,7103.0,9426.0,196.0
Maule,Curicó,7301.0,163626.0,4664.0
Maule,Empedrado,7104.0,4206.0,83.0
Maule,Hualañé,7302.0,10222.0,163.0
Maule,Licantén,7303.0,6989.0,196.0
Maule,Linares,7401.0,101073.0,1812.0
Maule,Longaví,7403.0,32810.0,695.0
Maule,Maule,7105.0,60000.0,1395.0
Maule,Molina,7304.0,49800.0,1035.0
Maule,Parral,7404.0,44544.0,915.0
Maule,Pelarco,7106.0,9083.0,185.0
Maule,Pelluhue,7203.0,8092.0,140.0
Maule,Pencahue,7107.0,8601.0,165.0
Maule,Rauco,7305.0,11248.0,271.0
Maule,Retiro,7405.0,21071.0,386.0
Maule,Río Claro,7108.0,14753.0,288.0
Maule,Romeral,7306.0,16170.0,504.0
Maule,Sagrada Familia,7307.0,19469.0,308.0
Maule,San Clemente,7109.0,46292.0,1232.0
Maule,San Javier,7406.0,49451.0,1395.0
Maule,San Rafael,7110.0,9959.0,344.0
Maule,Talca,7101.0,236724.0,5865.0
Maule,Teno,7308.0,30850.0,736.0
Maule,Vichuquén,7309.0,4381.0,27.0
Maule,Villa Alegre,7407.0,17512.0,361.0
Maule,Yerbas Buenas,7408.0,19200.0,364.0
Maule,Desconocido Maule,,,17.0
Ñuble,Bulnes,16102.0,22607.0,949.0
Ñuble,Chillán,16101.0,198624.0,6820.0
Ñuble,Chillán Viejo,16103.0,33827.0,884.0
Ñuble,Cobquecura,16202.0,5275.0,59.0
Ñuble,Coelemu,16203.0,16845.0,266.0
Ñuble,Coihueco,16302.0,28375.0,790.0
Ñuble,El Carmen,16104.0,12334.0,278.0
Ñuble,Ninhue,16204.0,5414.0,153.0
Ñuble,Ñiquén,16303.0,11567.0,200.0
Ñuble,Pemuco,16105.0,8639.0,190.0
Ñuble,Pinto,16106.0,11880.0,191.0
Ñuble,Portezuelo,16205.0,4940.0,72.0
Ñuble,Quillón,16107.0,18777.0,559.0
Ñuble,Quirihue,16201.0,12192.0,330.0
Ñuble,Ranquil,16206.0,6261.0,132.0
Ñuble,San Carlos,16301.0,56252.0,988.0
Ñuble,San Fabián,16304.0,4654.0,55.0
Ñuble,San Ignacio,16108.0,16624.0,313.0
Ñuble,San Nicolás,16305.0,12172.0,294.0
Ñuble,Treguaco,16207.0,5696.0,106.0
Ñuble,Yungay,16109.0,18596.0,318.0
Ñuble,Desconocido Nuble,,,5.0
Biobío,Alto Biobío,8314.0,6775.0,256.0
Biobío,Antuco,8302.0,4306.0,112.0
Biobío,Arauco,8202.0,38679.0,1679.0
Biobío,Cabrero,8303.0,30725.0,727.0
Biobío,Cañete,8203.0,37003.0,1312.0
Biobío,Chiguayante,8103.0,91180.0,3160.0
Biobío,Concepción,8101.0,238092.0,8133.0
Biobío,Contulmo,8204.0,6330.0,121.0
Biobío,Coronel,8102.0,125829.0,5341.0
Biobío,Curanilahue,8205.0,33892.0,1430.0
Biobío,Florida,8104.0,11841.0,333.0
Biobío,Hualpén,8112.0,97273.0,3321.0
Biobío,Hualqui,8105.0,26201.0,814.0
Biobío,Laja,8304.0,23873.0,534.0
Biobío,Lebu,8201.0,27100.0,605.0
Biobío,Los Álamos,8206.0,22524.0,636.0
Biobío,Los Ángeles,8301.0,218515.0,4894.0
Biobío,Lota,8106.0,45750.0,2103.0
Biobío,Mulchén,8305.0,31041.0,599.0
Biobío,Nacimiento,8306.0,27944.0,703.0
Biobío,Negrete,8307.0,10429.0,359.0
Biobío,Penco,8107.0,49865.0,1977.0
Biobío,Quilaco,8308.0,4179.0,102.0
Biobío,Quilleco,8309.0,10032.0,166.0
Biobío,San Pedro de la Paz,8108.0,145906.0,4460.0
Biobío,San Rosendo,8310.0,3611.0,91.0
Biobío,Santa Bárbara,8311.0,14592.0,276.0
Biobío,Santa Juana,8109.0,14779.0,336.0
Biobío,Talcahuano,8110.0,158345.0,5530.0
Biobío,Tirúa,8207.0,11019.0,400.0
Biobío,Tomé,8111.0,58729.0,2050.0
Biobío,Tucapel,8312.0,15205.0,283.0
Biobío,Yumbel,8313.0,22132.0,673.0
Biobío,Desconocido Biobio,,,206.0
Araucanía,Angol,9201.0,56058.0,1763.0
Araucanía,Carahue,9102.0,25486.0,776.0
Araucanía,Cholchol,9121.0,12341.0,353.0
Araucanía,Collipulli,9202.0,26148.0,728.0
Araucanía,Cunco,9103.0,18055.0,335.0
Araucanía,Curacautín,9203.0,18178.0,164.0
Araucanía,Curarrehue,9104.0,7802.0,138.0
Araucanía,Ercilla,9204.0,8458.0,318.0
Araucanía,Freire,9105.0,25446.0,517.0
Araucanía,Galvarino,9106.0,12633.0,557.0
Araucanía,Gorbea,9107.0,15148.0,262.0
Araucanía,Lautaro,9108.0,40746.0,1126.0
Araucanía,Loncoche,9109.0,24739.0,400.0
Araucanía,Lonquimay,9205.0,11049.0,235.0
Araucanía,Los Sauces,9206.0,7517.0,251.0
Araucanía,Lumaco,9207.0,10050.0,278.0
Araucanía,Melipeuco,9110.0,6265.0,85.0
Araucanía,Nueva Imperial,9111.0,33777.0,617.0
Araucanía,Padre Las Casas,9112.0,82110.0,2005.0
Araucanía,Perquenco,9113.0,7223.0,314.0
