Region,Codigo region,Comuna,Codigo comuna,Poblacion,2020-06-12,2020-06-15,2020-06-19,2020-06-23,2020-06-28,2020-07-01,2020-07-05,2020-07-10,2020-07-13,2020-07-17,2020-07-20,2020-07-24,2020-07-27,2020-07-31,2020-08-03,2020-08-07,2020-08-10,2020-08-14,2020-08-17,2020-08-21,2020-08-24,2020-08-28,2020-08-31,2020-09-04,2020-09-07,2020-09-11,2020-09-14,2020-09-18,2020-09-21,2020-09-25,2020-09-28
Arica y Parinacota,15,Arica,15101.0,247552.0,10.0,11.0,12.0,12.0,22.0,22.0,23.0,25.0,29.0,33.0,39.0,43.0,52.0,59.0,69.0,75.0,79.0,81.0,86.0,96.0,101.0,106.0,108.0,115.0,120.0,127.0,134.0,137.0,140.0,147.0,147.0
Arica y Parinacota,15,Camarones,15102.0,1233.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Arica y Parinacota,15,General Lagos,15202.0,810.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Arica y Parinacota,15,Putre,15201.0,2515.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arica y Parinacota,15,Desconocido Arica y Parinacota,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arica y Parinacota,15,Total,,252110.0,10.0,11.0,12.0,12.0,22.0,22.0,23.0,25.0,29.0,33.0,39.0,43.0,52.0,59.0,69.0,76.0,80.0,82.0,87.0,97.0,102.0,108.0,110.0,117.0,122.0,129.0,136.0,139.0,142.0,149.0,149.0
Tarapaca,1,Alto Hospicio,1107.0,129999.0,11.0,15.0,18.0,22.0,25.0,25.0,30.0,33.0,34.0,34.0,35.0,39.0,44.0,45.0,47.0,49.0,49.0,51.0,51.0,53.0,53.0,53.0,54.0,54.0,55.0,55.0,55.0,56.0,56.0,57.0,57.0
Tarapaca,1,Camiña,1402.0,1375.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Tarapaca,1,Colchane,1403.0,1583.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Tarapaca,1,Huara,1404.0,3000.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
Tarapaca,1,Iquique,1101.0,223463.0,32.0,36.0,45.0,50.0,64.0,65.0,69.0,78.0,80.0,87.0,91.0,94.0,97.0,100.0,103.0,107.0,110.0,111.0,112.0,115.0,118.0,120.0,123.0,125.0,130.0,129.0,131.0,132.0,133.0,138.0,140.0
Tarapaca,1,Pica,1405.0,5958.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,4.0,4.0,4.0,4.0,7.0,8.0,8.0,8.0,8.0,8.0
Tarapaca,1,Pozo Almonte,1401.0,17395.0,1.0,2.0,2.0,2.0,3.0,5.0,6.0,7.0,9.0,9.0,9.0,9.0,10.0,12.0,13.0,13.0,14.0,14.0,14.0,14.0,15.0,15.0,15.0,15.0,14.0,14.0,14.0,15.0,16.0,16.0,16.0
Tarapaca,1,Desconocido Tarapaca,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tarapaca,1,Total,,382773.0,48.0,58.0,71.0,80.0,99.0,102.0,112.0,125.0,130.0,138.0,143.0,151.0,160.0,166.0,173.0,179.0,183.0,187.0,188.0,193.0,198.0,201.0,205.0,207.0,212.0,214.0,217.0,220.0,222.0,228.0,230.0
